d1,s,s_tol+,s_tol-,d3,d3_tol+,d3_tol-,a,b,d5,W,d2,d2_tol+,d2_tol-,m,t,n,d4,FN,FR,g,FRg,nabl,Pliers
40,1.75,0.06,-0.18,36.5,0.39,-0.9,6,4.4,2.5,6.03,37.5,0,-0.25,1.85,1.25,3.8,52.6,25.3,51,2,9.5,14300,40
42,1.75,0.06,-0.18,38.5,0.39,-0.9,6.5,4.5,2.5,6.5,39.5,0,-0.25,1.85,1.25,3.8,55.7,26.7,50,2,9.45,13000,40
45,1.75,0.06,-0.18,41.5,0.39,-0.9,6.7,4.7,2.5,7.5,42.5,0,-0.25,1.85,1.25,3.8,59.1,28.6,49,2,9.35,11400,40
48,2,0.06,-0.18,44.5,0.39,-0.9,6.9,5,2.5,7.9,45.5,0,-0.25,1.85,1.25,3.8,62.5,30.7,49.4,2,9.55,10300,40
50,2,0,-0.07,45.8,0.39,-0.9,6.9,5.1,2.5,10.2,47,0,-0.25,2.15,1.5,4.5,64.5,38,73.3,2,14.4,10500,40
52,2,0,-0.07,47.8,0.39,-0.9,7,5.2,2.5,11.1,49,0,-0.25,2.15,1.5,4.5,66.7,39.7,73.1,2.5,11.5,9850,40
55,2,0,-0.07,50.8,0.46,-1.1,7.2,5.4,2.5,11.4,52,0,-0.30,2.15,1.5,4.5,70.2,42,71.4,2.5,11.4,8960,40
56,2,0,-0.07,51.8,0.46,-1.1,7.3,5.5,2.5,11.8,53,0,-0.30,2.15,1.5,4.5,71.6,42.8,70.8,2.5,11.35,8670,40
58,2,0,-0.07,53.8,0.46,-1.1,7.3,5.6,2.5,12.6,55,0,-0.30,2.15,1.5,4.5,73.6,44.3,71.1,2.5,11.5,8200,40
60,2,0,-0.07,55.8,0.46,-1.1,7.4,5.8,2.5,12.9,57,0,-0.30,2.15,1.5,4.5,75.6,46,69.2,2.5,11.3,7620,40
62,2,0,-0.07,57.8,0.46,-1.1,7.5,6,2.5,14.3,59,0,-0.30,2.15,1.5,4.5,77.8,47.5,69.3,2.5,11.45,7240,40
63,2,0,-0.07,58.8,0.46,-1.1,7.6,6.2,2.5,15.9,60,0,-0.30,2.15,1.5,4.5,79,48.3,70.2,2.5,11.6,7050,40
65,2.5,0,-0.07,60.8,0.46,-1.1,7.8,6.3,3,18.2,62,0,-0.30,2.65,1.5,4.5,81.4,49.8,135.6,2.5,22.7,6640,40
68,2.5,0,-0.07,63.5,0.46,-1.1,8,6.2,3,21.8,65,0,-0.30,2.65,1.5,4.5,84.8,52.2,135.9,2.5,23.1,6910,40
70,2.5,0,-0.07,65.5,0.46,-1.1,8.1,6.6,3,22,67,0,-0.30,2.65,1.5,4.5,87,53.8,134.2,2.5,23,6530,40
72,2.5,0,-0.07,67.5,0.46,-1.1,8.2,6.8,3,22.5,69,0,-0.30,2.65,1.5,4.5,89.2,55.3,131.8,2.5,22.8,6190,40
75,2.5,0,-0.07,70.5,0.46,-1.1,8.4,7,3,24.6,72,0,-0.30,2.65,1.5,4.5,92.7,57.6,130,2.5,22.8,5740,40
78,2.5,0,-0.07,73.5,0.46,-1.1,8.6,7.3,3,26.2,75,0,-0.30,2.65,1.5,4.5,96.1,60,131.3,3,19.75,5450,40
80,2.5,0,-0.07,74.5,0.46,-1.1,8.6,7.4,3,27.3,76.5,0,-0.30,2.65,1.75,5.3,98.1,71.6,128.4,3,19.5,6100,40
82,2.5,0,-0.07,76.5,0.46,-1.1,8.7,7.6,3,31.2,78.5,0,-0.30,2.65,1.75,5.3,100.3,73.5,128,3,19.6,5860,40
85,3,0,-0.08,79.5,0.46,-1.1,8.7,7.8,3.5,36.4,81.5,0,-0.35,3.15,1.75,5.3,103.3,76.2,215.4,3,33.4,5710,85
88,3,0,-0.08,82.5,0.54,-1.3,8.8,8,3.5,41.2,84.5,0,-0.35,3.15,1.75,5.3,106.5,79,221.8,3,34.85,5200,85
90,3,0,-0.08,84.5,0.54,-1.3,8.8,8.2,3.5,44.5,86.5,0,-0.35,3.15,1.75,5.3,108.5,80.8,217.2,3,34.4,4980,85
95,3,0,-0.08,89.5,0.54,-1.3,9.4,8.6,3.5,49,91.5,0,-0.35,3.15,1.75,5.3,114.8,85.5,212.2,3.5,29.25,4550,85
100,3,0,-0.1,94.5,0.54,-1.3,9.6,9,3.5,53.7,96.5,0,-0.35,3.15,1.75,5.3,120.2,90,206.4,3.5,29,4180,85
105,4,0,-0.1,98,0.54,-1.3,9.9,9.3,3.5,80,101,0,-0.54,4.15,2,6,125.8,107.6,471.8,3.5,67.7,4740,85
110,4,0,-0.1,103,0.54,-1.3,10.1,9.6,3.5,82,106,0,-0.54,4.15,2,6,131.2,113,457,3.5,66.9,4340,85
115,4,0,-0.1,108,0.54,-1.3,10.6,9.8,3.5,84,111,0,-0.54,4.15,2,6,137.3,118.2,438.6,3.5,65.5,3970,85
120,4,0,-0.1,113,0.54,-1.3,11,10.2,3.5,86,116,0,-0.54,4.15,2,6,143.1,123.5,426.6,3.5,64.5,3685,85
125,4,0,-0.1,118,0.54,-1.3,11.4,10.4,4,90,121,0,-0.63,4.15,2,6,149,128.7,411.5,4,56.5,3420,125
130,4,0,-0.1,123,0.63,-1.5,11.6,10.7,4,100,126,0,-0.63,4.15,2,6,154.4,134,2395.5,4,55.2,3180,125
135,4,0,-0.1,128,0.63,-1.5,11.8,11,4,104,131,0,-0.63,4.15,2,6,159.8,139.2,389.5,4,55.4,2950,125
140,4,0,-0.1,133,0.63,-1.5,12,11.2,4,110,136,0,-0.63,4.15,2,6,165.2,144.5,376.5,4,54.4,2760,125
145,4,0,-0.1,138,0.63,-1.5,12.2,11.5,4,115,141,0,-0.63,4.15,2,6,170.6,149.6,367,4,53.8,2600,125
150,4,0,-0.1,142,0.63,-1.5,13,11.8,4,120,145,0,-0.63,4.15,2.5,7.5,177.3,193,357.5,4,53.4,2480,125
155,4,0,-0.1,146,0.63,-1.5,13,12,4,135,150,0,-0.63,4.15,2.5,7.5,182.3,199.6,352.9,4,52.6,2710,125
160,4,0,-0.1,151,0.63,-1.5,13.3,12.2,4,150,155,0,-0.63,4.15,2.5,7.5,188,206.1,349.2,4,52.2,2540,125
165,4,0,-0.1,155.5,0.63,-1.5,13.5,12.5,4,160,160,0,-0.63,4.15,2.5,7.5,193.4,212.5,345.3,4,41.4,2520,125
170,4,0,-0.1,160.5,0.63,-1.5,13.5,12.9,4,170,165,0,-0.63,4.15,2.5,7.5,198.4,219.1,349.2,4,41.9,2440,125
175,4,0,-0.1,165.5,0.63,-1.5,13.5,12.9,4,180,170,0,-0.63,4.15,2.5,7.5,203.4,225.5,340.1,5,40.7,2300,125
180,4,0,-0.1,170.5,0.63,-1.5,14.2,13.5,4,190,175,0,-0.63,4.15,2.5,7.5,210,232.2,345.3,5,41.4,2790,125
185,4,0,-0.1,175.5,0.63,-1.5,14.2,13.5,4,200,180,0,-0.63,4.15,2.5,7.5,215,238.6,336.7,5,40.4,2070,125
190,4,0,-0.1,180.5,0.72,-1.7,14.2,14,4,210,185,0,-0.72,4.15,2.5,7.5,220,245.1,333.8,5,40,1970,125
195,4,0,-0.1,185.5,0.72,-1.7,14.2,14,4,220,190,0,-0.72,4.15,2.5,7.5,225,251.8,325.4,5,39,1835,125
200,4,0,-0.1,190.5,0.72,-1.7,14.2,14,4,230,195,0,-0.72,4.15,2.5,7.5,230,258.3,319.2,5,38.3,1770,125
210,5,0,-0.12,198,0.72,-1.7,14.2,14,4,248,204,0,-0.72,5.15,3,9,240,325.1,598.2,6,59.9,1835,125
220,5,0,-0.12,208,0.72,-1.7,14.2,14,4,265,214,0,-0.72,5.15,3,9,250,340.8,572.4,6,57.3,1620,125
230,5,0,-0.12,218,0.72,-1.7,14.2,14,4,290,224,0,-0.72,5.15,3,9,260,356.6,548.9,6,55,1445,125
240,5,0,-0.12,228,0.72,-1.7,14.2,14,4,310,234,0,-0.72,5.15,3,9,270,372.6,530.3,6,53,1305,125
250,5,0,-0.12,238,0.72,-1.7,14.2,14,4,335,244,0,-0.72,5.15,3,9,280,388.3,504.3,6,50.5,1180,125
260,5,0,-0.12,245,0.72,-1.7,16.2,16,5,355,252,0,-0.81,5.15,4,12,294,535.8,540.6,6,54.6,1320,125
270,5,0,-0.12,255,0.81,-2,16.2,16,5,375,262,0,-0.81,5.15,4,12,304,556.6,525.3,6,52.5,1215,125
280,5,0,-0.12,265,0.81,-2,16.2,16,5,398,272,0,-0.81,5.15,4,12,314,576.6,508.2,6,50.9,1100,125
290,5,0,-0.12,275,0.81,-2,16.2,16,5,418,282,0,-0.81,5.15,4,12,324,599.1,490.8,6,49.2,1005,125
300,5,0,-0.12,285,0.81,-2,16.2,16,5,440,292,0,-0.81,5.15,4,12,334,619.1,475,6,47.5,930,125,
