Size,iso3601:id,iso3601:w,iso3601:id_tol,iso3601:w_tol
238,88.49,3.53,0.610,0.100
239,91.67,3.53,0.710,0.100
240,94.84,3.53,0.710,0.100
241,98.02,3.53,0.710,0.100
242,101.19,3.53,0.710,0.100
243,104.37,3.53,0.710,0.100
244,107.54,3.53,0.760,0.100
245,110.72,3.53,0.760,0.100
246,113.89,3.53,0.760,0.100
247,117.07,3.53,0.760,0.100
248,120.24,3.53,0.760,0.100
249,123.42,3.53,0.890,0.100
250,126.59,3.53,0.890,0.100
251,129.77,3.53,0.890,0.100
252,132.94,3.53,0.890,0.100
253,136.12,3.53,0.890,0.100
254,139.29,3.53,0.890,0.100
255,142.47,3.53,0.890,0.100
256,145.64,3.53,0.890,0.100
257,148.82,3.53,0.890,0.100
258,151.99,3.53,0.890,0.100
259,158.34,3.53,1.020,0.100
260,164.69,3.53,1.020,0.100
261,171.04,3.53,1.020,0.100
262,177.39,3.53,1.020,0.100
263,183.74,3.53,1.140,0.100
264,190.09,3.53,1.140,0.100
265,196.44,3.53,1.140,0.100
266,202.79,3.53,1.140,0.100
267,209.14,3.53,1.270,0.100
268,215.49,3.53,1.270,0.100
269,221.84,3.53,1.270,0.100
270,228.19,3.53,1.270,0.100
271,234.54,3.53,1.400,0.100
272,240.89,3.53,1.400,0.100
273,247.24,3.53,1.400,0.100
274,253.59,3.53,1.400,0.100
275,266.29,3.53,1.400,0.100
276,278.99,3.53,1.650,0.100
277,291.69,3.53,1.650,0.100
278,304.39,3.53,1.650,0.100
279,329.79,3.53,1.650,0.100
280,355.19,3.53,1.650,0.100
281,380.59,3.53,1.650,0.100
282,405.26,3.53,1.910,0.100
283,430.66,3.53,2.030,0.100
284,456.06,3.53,2.160,0.100
309,10.46,5.33,0.130,0.130
310,12.07,5.33,0.130,0.130
311,13.64,5.33,0.180,0.130
312,15.24,5.33,0.230,0.130
313,16.81,5.33,0.230,0.130
314,18.42,5.33,0.250,0.130
315,19.99,5.33,0.250,0.130
316,21.59,5.33,0.250,0.130
317,23.16,5.33,0.250,0.130
318,24.77,5.33,0.250,0.130
319,26.34,5.33,0.250,0.130
320,27.94,5.33,0.300,0.130
321,29.51,5.33,0.300,0.130
322,31.12,5.33,0.300,0.130
323,32.69,5.33,0.300,0.130
324,34.29,5.33,0.300,0.130
325,37.47,5.33,0.380,0.130
326,40.64,5.33,0.380,0.130
327,43.82,5.33,0.380,0.130
328,46.99,5.33,0.380,0.130
329,50.17,5.33,0.460,0.130
330,53.34,5.33,0.460,0.130
331,56.52,5.33,0.460,0.130
332,59.69,5.33,0.460,0.130
333,62.87,5.33,0.510,0.130
334,66.04,5.33,0.510,0.130
335,69.22,5.33,0.510,0.130
336,72.39,5.33,0.510,0.130
337,75.57,5.33,0.610,0.130
338,78.74,5.33,0.610,0.130
339,81.92,5.33,0.610,0.130
340,85.09,5.33,0.610,0.130
341,88.27,5.33,0.610,0.130
342,91.44,5.33,0.710,0.130
343,94.62,5.33,0.710,0.130
344,97.79,5.33,0.710,0.130
345,100.97,5.33,0.710,0.130
346,104.14,5.33,0.710,0.130
347,107.32,5.33,0.760,0.130
348,110.49,5.33,0.760,0.130
349,113.67,5.33,0.760,0.130
350,116.84,5.33,0.760,0.130
351,120.02,5.33,0.760,0.130
352,123.19,5.33,0.760,0.130
353,126.37,5.33,0.940,0.130
354,129.54,5.33,0.940,0.130
355,132.72,5.33,0.940,0.130
356,135.89,5.33,0.940,0.130
357,139.07,5.33,0.940,0.130
358,142.24,5.33,0.940,0.130
359,145.42,5.33,0.940,0.130
360,148.59,5.33,0.940,0.130
361,151.77,5.33,0.940,0.130
362,158.12,5.33,1.020,0.130
363,164.47,5.33,1.020,0.130
364,170.82,5.33,1.020,0.130
365,177.17,5.33,1.020,0.130
366,183.52,5.33,1.140,0.130
367,189.87,5.33,1.140,0.130
368,196.22,5.33,1.140,0.130
369,202.57,5.33,1.140,0.130
370,208.92,5.33,1.270,0.130
371,215.27,5.33,1.270,0.130
372,221.62,5.33,1.270,0.130
373,227.97,5.33,1.270,0.130
374,234.32,5.33,1.400,0.130
375,240.67,5.33,1.400,0.130
376,247.02,5.33,1.400,0.130
377,253.37,5.33,1.400,0.130
378,266.07,5.33,1.520,0.130
379,278.77,5.33,1.520,0.130
380,291.47,5.33,1.650,0.130
381,304.17,5.33,1.650,0.130
382,329.57,5.33,1.650,0.130
383,354.97,5.33,1.780,0.130
384,380.37,5.33,1.780,0.130
385,405.26,5.33,1.910,0.130
386,430.66,5.33,2.030,0.130
387,456.06,5.33,2.160,0.130
388,481.46,5.33,2.290,0.130
389,506.86,5.33,2.410,0.130
390,532.26,5.33,2.410,0.130
391,557.66,5.33,2.540,0.130
392,582.68,5.33,2.670,0.130
393,608.08,5.33,2.790,0.130
394,633.48,5.33,2.920,0.130
395,658.88,5.33,3.050,0.130
425,113.67,6.99,0.840,0.150
426,116.84,6.99,0.840,0.150
427,120.02,6.99,0.840,0.150
428,123.19,6.99,0.840,0.150
429,126.37,6.99,0.940,0.150
430,129.54,6.99,0.940,0.150
431,132.72,6.99,0.940,0.150
432,135.89,6.99,0.940,0.150
433,139.07,6.99,0.940,0.150
434,142.24,6.99,0.940,0.150
435,145.42,6.99,0.940,0.150
436,148.59,6.99,0.940,0.150
437,151.77,6.99,0.940,0.150
438,158.12,6.99,1.020,0.150
439,164.47,6.99,1.020,0.150
440,170.82,6.99,1.020,0.150
441,177.17,6.99,1.020,0.150
442,183.52,6.99,1.140,0.150
443,189.87,6.99,1.140,0.150
444,196.22,6.99,1.140,0.150
445,202.57,6.99,1.140,0.150
446,215.27,6.99,1.400,0.150
447,227.97,6.99,1.400,0.150
448,240.67,6.99,1.400,0.150
449,253.37,6.99,1.400,0.150
450,266.07,6.99,1.520,0.150
451,278.77,6.99,1.520,0.150
452,291.47,6.99,1.520,0.150
453,304.17,6.99,1.520,0.150
454,316.87,6.99,1.520,0.150
455,329.57,6.99,1.520,0.150
456,342.27,6.99,1.780,0.150
457,354.97,6.99,1.780,0.150
458,367.67,6.99,1.780,0.150
459,380.37,6.99,1.780,0.150
460,393.07,6.99,1.780,0.150
461,405.26,6.99,1.910,0.150
462,417.96,6.99,1.910,0.150
463,430.66,6.99,2.030,0.150
464,443.36,6.99,2.160,0.150
465,456.06,6.99,2.160,0.150
466,468.76,6.99,2.160,0.150
467,481.46,6.99,2.290,0.150
468,494.16,6.99,2.290,0.150
469,506.86,6.99,2.410,0.150
470,532.26,6.99,2.410,0.150
471,557.66,6.99,2.540,0.150
472,582.68,6.99,2.670,0.150
473,608.08,6.99,2.790,0.150
474,633.48,6.99,2.920,0.150
475,658.88,6.99,3.050,0.150
